iter	RMSE
0	0.02910909223
1	0.02749124908
2	0.02597750108
3	0.02452831424
4	0.02316262926
5	0.02186661939
6	0.02065277775
7	0.01950428311
8	0.01842423289
9	0.01741085321
10	0.01643910863
11	0.01553225828
12	0.01467215355
13	0.01386809791
14	0.01309866358
15	0.01237303035
16	0.01170019559
17	0.01107114431
18	0.0104575264
19	0.009881806437
20	0.009342096321
21	0.008820921106
22	0.008339778567
23	0.007888799171
24	0.007457656787
25	0.007052860647
26	0.006672046811
27	0.006304989815
28	0.005964152405
29	0.005639696493
30	0.005339479715
31	0.005054726222
32	0.00478452656
33	0.004528679164
34	0.004283911737
35	0.004058924696
36	0.00384327358
37	0.003639682087
38	0.003445626214
39	0.003262743291
40	0.003096975672
41	0.002934566518
42	0.002782678922
43	0.002639108004
44	0.00250496611
45	0.002377738414
46	0.002257193553
47	0.002140414012
48	0.002032675591
49	0.001932289807
50	0.00183920396
51	0.001749201033
52	0.001666305659
53	0.001588443924
54	0.001513799814
55	0.001444382865
56	0.001378213021
57	0.001315878697
58	0.001257904112
59	0.001205715272
60	0.00115528511
61	0.001107443067
62	0.001062238292
63	0.001021499201
64	0.0009815637791
65	0.0009445665212
66	0.0009102959425
67	0.000878087028
68	0.0008485134772
69	0.0008211703341
70	0.0007977580714
71	0.0007738708271
72	0.0007522181367
73	0.0007322369369
74	0.0007134222721
75	0.0006963882692
76	0.0006806755136
77	0.0006655895749
78	0.0006488017416
79	0.0006354383376
80	0.0006236846803
81	0.0006134152277
82	0.0006042905768
83	0.0005951338812
84	0.0005870462205
85	0.0005749984109
86	0.0005671431028
87	0.0005588087508
88	0.000548696066
89	0.0005400333084
90	0.0005348404746
91	0.0005277997175
92	0.0005235665124
93	0.0005191020061
94	0.0005121812854
95	0.0005079718762
96	0.0005040274182
97	0.0004999923473
98	0.0004941993395
99	0.0004918463717
100	0.0004867342857
101	0.0004840631947
102	0.0004791301595
103	0.0004761547414
104	0.0004729245866
105	0.0004711995529
106	0.0004671724509
107	0.0004641139829
108	0.0004624122116
109	0.0004606805832
110	0.0004575441399
111	0.0004560548086
112	0.0004533922871
113	0.0004517588888
114	0.0004483690065
115	0.0004446976524
116	0.0004427543807
117	0.0004407329072
118	0.0004375608979
119	0.0004350795548
120	0.0004334447469
121	0.0004321172198
122	0.0004310309592
123	0.0004298904506
124	0.0004270097079
125	0.0004246859337
126	0.000422690374
127	0.0004216369602
128	0.0004207766478
129	0.0004200615159
130	0.0004177339498
131	0.000415617476
132	0.0004144968403
133	0.0004134330045
134	0.0004109602377
135	0.00040879369
136	0.0004073281301
137	0.0004060784851
138	0.000404942243
139	0.0004036178793
140	0.0004028461266
141	0.0004010441094
142	0.0003990563317
143	0.0003969105121
144	0.0003962371289
145	0.0003940511886
146	0.0003930606419
147	0.0003923400682
148	0.0003913583431
149	0.0003892548269
150	0.0003885303268
151	0.0003869292697
152	0.0003850414766
153	0.000384125126
154	0.0003828507878
155	0.0003821625885
156	0.0003803560439
157	0.0003797935464
158	0.0003792034348
159	0.0003781267977
160	0.0003765204365
161	0.0003750554345
162	0.0003743561914
163	0.0003738074563
164	0.0003729457661
165	0.0003713834757
166	0.0003699570539
167	0.0003689603865
168	0.0003680752973
169	0.0003674485501
170	0.0003668703474
171	0.0003663440028
172	0.0003649733137
173	0.0003638729507
174	0.0003630708939
175	0.0003625102683
176	0.0003613050891
177	0.0003607779524
178	0.0003603296625
179	0.0003593915886
180	0.0003584608126
181	0.000357830734
182	0.0003573485163
183	0.0003565056866
184	0.0003556016299
185	0.0003540842011
186	0.0003526871301
187	0.0003522112092
188	0.0003514006933
189	0.0003507204768
190	0.0003501217971
191	0.0003496994659
192	0.000349270839
193	0.000348897818
194	0.0003480493593
195	0.0003474971884
196	0.0003464926286
197	0.000345114824
198	0.0003447723304
199	0.0003438710021
200	0.000342537013
201	0.0003411304553
202	0.0003402233022
203	0.0003395277805
204	0.0003384193191
205	0.0003371971962
206	0.0003366134475
207	0.0003357513842
208	0.0003352912019
209	0.0003347765454
210	0.0003338481819
211	0.0003329185841
212	0.0003318095734
213	0.0003307624565
214	0.0003302697563
215	0.0003297150085
216	0.0003293949009
217	0.0003285763509
218	0.0003282893032
219	0.0003275853974
220	0.0003268970175
221	0.0003265010905
222	0.0003255200789
223	0.0003246465688
224	0.0003240761945
225	0.0003232670658
226	0.0003224984372
227	0.000321420183
228	0.0003204514634
229	0.0003197621898
230	0.0003192282472
231	0.0003184434773
232	0.0003176014698
233	0.0003168690776
234	0.0003162404269
235	0.0003155304887
236	0.0003148966817
237	0.0003144966575
238	0.0003141249113
239	0.0003133160656
240	0.0003127466486
241	0.0003124355187
242	0.000311968946
243	0.0003113879408
244	0.0003105484025
245	0.0003101150994
